Time [min],Total Droplet Count - Aggregate - Suction Off,Total Droplet Count - Aggregate - Suction On,Total Volume - Aggregate - Suction Off,Total Volume - Aggregate - Suction On
60.36969,6.96E+08,2.81E+08,5.20689,1.4656
60.43964,6.72E+08,2.84E+08,4.99748,1.46189
60.50959,6.52E+08,2.84E+08,4.79869,1.46516
60.57955,6.34E+08,2.83E+08,4.64841,1.47062
60.6495,6.17E+08,2.82E+08,4.51226,1.47607
60.71945,6.13E+08,2.74E+08,4.48054,1.44941
60.78941,6.13E+08,2.66E+08,4.47941,1.4163
60.85936,6.13E+08,2.57E+08,4.48017,1.3832
60.92931,6.19E+08,2.60E+08,4.54105,1.42639
60.99927,6.25E+08,2.64E+08,4.6036,1.47774
61.06922,6.32E+08,2.69E+08,4.66563,1.52909
61.13917,6.38E+08,2.64E+08,4.64903,1.48273
61.20913,6.45E+08,2.59E+08,4.6384,1.43372
61.27908,6.51E+08,2.54E+08,4.62215,1.38755
61.34903,6.36E+08,2.58E+08,4.47798,1.40329
61.41899,6.21E+08,2.61E+08,4.31599,1.41903
61.48894,6.08E+08,2.65E+08,4.17283,1.43121
61.55889,6.18E+08,2.62E+08,4.17253,1.41576
61.62885,6.26E+08,2.60E+08,4.14972,1.40034
61.6988,6.34E+08,2.59E+08,4.13507,1.38878
61.76875,6.39E+08,2.63E+08,4.16067,1.39441
61.83871,6.44E+08,2.67E+08,4.20554,1.40005
61.90866,6.49E+08,2.71E+08,4.24094,1.40487
61.97861,6.55E+08,2.73E+08,4.25213,1.40733
62.04857,6.62E+08,2.75E+08,4.27331,1.40979
62.11852,6.64E+08,2.76E+08,4.24898,1.41517
62.18847,6.52E+08,2.74E+08,4.13145,1.42659
62.25843,6.40E+08,2.72E+08,4.01632,1.43801
62.32838,6.35E+08,2.70E+08,3.97327,1.44962
62.39833,6.41E+08,2.70E+08,4.03099,1.46153
62.46828,6.46E+08,2.69E+08,4.07467,1.47343
62.53824,6.52E+08,2.68E+08,4.15864,1.47374
62.60819,6.62E+08,2.65E+08,4.29776,1.46079
62.67814,6.72E+08,2.62E+08,4.44723,1.44785
62.7481,6.73E+08,2.62E+08,4.4939,1.44488
62.81805,6.64E+08,2.64E+08,4.44568,1.45054
62.888,6.55E+08,2.67E+08,4.39218,1.4562
62.95796,6.43E+08,2.71E+08,4.3051,1.47523
63.02791,6.30E+08,2.77E+08,4.19114,1.50292
63.09786,6.15E+08,2.82E+08,4.07384,1.53061
63.16782,6.02E+08,2.76E+08,3.93811,1.48272
63.23777,5.94E+08,2.64E+08,3.80527,1.39885
63.30772,5.86E+08,2.53E+08,3.678,1.31496
63.37768,5.90E+08,2.49E+08,3.7194,1.28916
63.44763,5.97E+08,2.48E+08,3.81462,1.28294
63.51758,6.03E+08,2.47E+08,3.90879,1.27673
63.58754,6.02E+08,2.40E+08,3.96901,1.22933
63.65749,5.99E+08,2.31E+08,4.02334,1.17278
63.72744,5.96E+08,2.23E+08,4.07802,1.11624
63.7974,5.87E+08,2.27E+08,4.01108,1.13112
63.86735,5.78E+08,2.32E+08,3.92694,1.15496
63.9373,5.68E+08,2.38E+08,3.84253,1.1788
64.00726,5.71E+08,2.51E+08,3.87658,1.2374
64.07721,5.75E+08,2.66E+08,3.92037,1.29748
64.14716,5.80E+08,2.80E+08,3.96187,1.35635
64.21712,5.76E+08,2.81E+08,3.92123,1.37543
64.28707,5.74E+08,2.83E+08,3.88475,1.39451
64.35702,5.71E+08,2.83E+08,3.84398,1.40606
64.42698,5.68E+08,2.73E+08,3.76456,1.34971
64.49693,5.65E+08,2.62E+08,3.68591,1.29337
64.56688,5.62E+08,2.52E+08,3.61747,1.2435
64.63684,5.61E+08,2.50E+08,3.59311,1.22516
64.70679,5.54E+08,2.47E+08,3.54042,1.20683
64.77674,5.45E+08,2.45E+08,3.48281,1.19183
64.8467,5.30E+08,2.45E+08,3.41475,1.18743
64.91665,5.18E+08,2.45E+08,3.36281,1.18302
64.9866,5.12E+08,2.44E+08,3.36903,1.17795
65.05656,5.21E+08,2.42E+08,3.50626,1.17141
65.12651,5.31E+08,2.39E+08,3.64818,1.16486
65.19646,5.35E+08,2.41E+08,3.74442,1.18207
65.26642,5.31E+08,2.47E+08,3.76521,1.23788
65.33637,5.28E+08,2.54E+08,3.78381,1.29366
65.40632,5.28E+08,2.58E+08,3.79665,1.3262
65.47628,5.32E+08,2.60E+08,3.80562,1.33053
65.54623,5.37E+08,2.61E+08,3.81846,1.33485
65.61618,5.43E+08,2.57E+08,3.84579,1.30223
65.68614,5.49E+08,2.49E+08,3.88552,1.23579
65.75609,5.54E+08,2.41E+08,3.92443,1.16934
65.82604,5.67E+08,2.33E+08,3.98522,1.11895
65.896,5.84E+08,2.24E+08,4.05465,1.07963
65.96595,6.01E+08,2.15E+08,4.11969,1.04031
66.0359,6.12E+08,2.14E+08,4.18868,1.03557
66.10586,6.25E+08,2.17E+08,4.27814,1.04847
66.17581,6.40E+08,2.20E+08,4.37699,1.06135
66.24576,6.37E+08,2.25E+08,4.35326,1.08298
66.31572,6.22E+08,2.30E+08,4.26674,1.10778
66.38567,6.06E+08,2.35E+08,4.17363,1.13261
66.45562,6.08E+08,2.31E+08,4.17112,1.12769
66.52558,6.14E+08,2.25E+08,4.20878,1.11552
66.59553,6.20E+08,2.19E+08,4.25085,1.10334
66.66548,6.11E+08,2.19E+08,4.17095,1.09315
66.73544,5.95E+08,2.20E+08,4.02795,1.08324
66.80539,5.79E+08,2.21E+08,3.87838,1.07333
66.87534,5.68E+08,2.20E+08,3.78714,1.06387
66.9453,5.61E+08,2.20E+08,3.72259,1.05442
67.01525,5.54E+08,2.20E+08,3.6604,1.04473
67.0852,5.54E+08,2.16E+08,3.66596,1.01836
67.15516,5.55E+08,2.12E+08,3.68071,0.99198
67.22511,5.55E+08,2.09E+08,3.6921,0.97099
67.29506,5.50E+08,2.19E+08,3.66761,1.00799
67.36502,5.44E+08,2.29E+08,3.64483,1.04498
67.43497,5.40E+08,2.36E+08,3.63037,1.07228
67.50492,5.49E+08,2.31E+08,3.66199,1.0468
67.57487,5.58E+08,2.25E+08,3.69817,1.02132
67.64483,5.66E+08,2.20E+08,3.73464,0.99792
67.71478,5.75E+08,2.17E+08,3.77312,0.98156
67.78473,5.85E+08,2.13E+08,3.81527,0.96523
67.85469,5.92E+08,2.13E+08,3.85721,0.97706
67.92464,5.90E+08,2.21E+08,3.88836,1.05577
67.99459,5.86E+08,2.29E+08,3.89511,1.13449
68.06455,5.87E+08,2.34E+08,3.95398,1.17343
68.1345,5.98E+08,2.33E+08,4.11062,1.1436
68.20445,6.10E+08,2.31E+08,4.28057,1.11379
68.27441,6.20E+08,2.34E+08,4.40045,1.09625
68.34436,6.27E+08,2.41E+08,4.45308,1.09453
68.41431,6.32E+08,2.48E+08,4.50219,1.09282
68.48427,6.34E+08,2.50E+08,4.51531,1.10896
68.55422,6.35E+08,2.48E+08,4.50005,1.14242
68.62417,6.37E+08,2.46E+08,4.4911,1.17589
68.69413,6.43E+08,2.41E+08,4.48846,1.17532
68.76408,6.51E+08,2.32E+08,4.48722,1.14987
68.83403,6.58E+08,2.24E+08,4.48362,1.12443
68.90399,6.47E+08,2.18E+08,4.35883,1.10093
68.97394,6.26E+08,2.12E+08,4.16327,1.07848
69.04389,6.04E+08,2.07E+08,3.96501,1.05603
69.11385,5.92E+08,2.08E+08,3.86366,1.07667
69.1838,5.85E+08,2.11E+08,3.82112,1.11415
69.25375,5.80E+08,2.15E+08,3.78672,1.15166
69.32371,5.94E+08,2.13E+08,3.89711,1.11004
69.39366,6.12E+08,2.10E+08,4.03464,1.04724
69.46361,6.29E+08,2.06E+08,4.16907,0.98444
69.53357,6.46E+08,1.99E+08,4.41546,0.94386
69.60352,6.60E+08,1.92E+08,4.65135,0.90694
69.67347,6.73E+08,1.85E+08,4.88251,0.86999
69.74343,6.44E+08,1.86E+08,4.59541,0.90744
69.81338,6.14E+08,1.89E+08,4.28951,0.9505
69.88333,5.84E+08,1.91E+08,3.98516,0.99355
