Time [min],Droplet Removal Rate [0.3um],Droplet Removal Rate [0.5um],Droplet Removal Rate [1.0um]
13.7,6885.2952,6817.1562,6033.9396
13.8,6742.1832,6675.4512,5745.9066
13.9,6860.6124,6792.7146,5989.9206
14,6885.4158,6817.2768,6002.3424
14.1,7042.638,6972.9312,6237.1506
14.2,6931.4448,6862.8234,6090.0588
14.3,6889.1946,6821.0154,6028.392
14.4,7082.436,7012.3272,6288.4056
14.5,7265.5068,7193.589,6584.1972
14.6,6837.9798,6770.283,5950.002
14.7,6754.5648,6687.7122,5783.0112
14.8,6769.5594,6702.546,5834.3466
14.9,6717.0582,6650.5674,5691.6768
15,6869.5368,6801.5586,5971.3482
15.1,6774.1824,6707.1288,5861.4414
15.2,6723.3294,6656.7984,5757.042
15.3,7173.3282,7102.335,6469.8684
15.4,6981.5742,6912.4704,6167.5242
15.5,6794.5638,6727.3092,5861.562
15.6,6866.2806,6798.3024,5986.8654
15.7,6876.7728,6808.7142,6001.7796
15.8,6874.1196,6806.061,6003.5886
15.9,6774.906,6707.8524,5822.4072
16,6803.9706,6736.6356,5857.8234
16.1,6734.2236,6667.572,5758.1676
16.2,7200.825,7129.5504,6549.4242
16.3,6706.0836,6639.7134,5671.9788
16.4,6554.007,6489.1242,5416.1058
16.5,6461.949,6397.9908,5234.844
16.6,6430.3116,6366.675,5177.4384
16.7,6587.8152,6522.6108,5439.2208
16.8,6776.6748,6709.581,5796.036
16.9,6910.179,6841.7988,6023.7288
17,7408.4982,7335.1734,6820.6536
17.1,7112.5056,7042.1154,6350.3538
17.2,6770.2428,6703.2294,5809.3422
17.3,6652.5774,6586.7298,5581.971
17.4,6536.2788,6471.597,5372.7702
17.5,6630.7086,6565.062,5570.0718
17.6,6784.0716,6716.9376,5824.2162
17.7,6733.3392,6666.6876,5725.6056
17.8,6681.9234,6615.7944,5658.2304
17.9,7433.9046,7360.3386,6809.1162
18,6942.339,6873.6372,6087.2046
18.1,6742.2234,6675.4914,5801.7042
18.2,6659.6526,6593.7246,5595.4782
18.3,6593.0814,6527.8368,5508.4854
18.4,6518.5506,6454.0296,5344.3086
18.5,6645.9042,6580.137,5559.9816
18.6,6611.091,6545.6454,5552.7858
18.7,7081.833,7011.7242,6233.1708
18.8,7259.8386,7187.961,6592.0362
18.9,6953.193,6884.3706,6084.7122
19,6687.5112,6621.3018,5676.9636
19.1,6582.4284,6517.2642,5481.7926
19.2,6585.8052,6520.6008,5428.5276
19.3,6790.7448,6723.5304,5819.955
19.4,6775.2276,6708.174,5811.1512
19.5,6795.0462,6727.7916,5849.9844
19.6,7311.6162,7239.2562,6667.6926
19.7,6779.2476,6712.1538,5807.0106
19.8,6739.0074,6672.3156,5757.9666
19.9,6639.432,6573.705,5547.5196
20,6582.9912,6517.827,5445.894
20.1,6709.2594,6642.849,5683.9182
20.2,6946.0374,6877.2954,6077.838
20.3,6812.8548,6745.4394,5900.3148
20.4,7031.4222,6961.836,6170.4588
20.5,6930.9624,6862.341,6058.9842
20.6,6735.8718,6669.18,5744.4594
20.7,6629.181,6563.5746,5586.3528
20.8,6606.9504,6541.545,5477.2902
20.9,6805.3776,6738.0024,5844.1554
21,6772.092,6705.0786,5812.92
21.1,6882.5616,6814.4226,5942.364
21.2,6707.3298,6640.9596,5716.8018
21.3,7161.7506,7090.878,6372.8658
21.4,6988.8102,6919.626,6165.876
21.5,6577.323,6512.2392,5497.3098
21.6,6623.0304,6557.4642,5504.184
21.7,6708.2544,6641.844,5687.9784
21.8,6532.098,6467.4564,5393.835
21.9,6543.354,6478.5918,5324.7312
22,6848.2308,6780.4536,5919.45
22.1,7035.0804,6965.454,6159.0018
22.2,7110.4956,7040.1054,6382.554
22.3,6687.471,6621.2616,5658.9942
22.4,6767.7504,6700.7772,5780.0766
22.5,6890.9232,6822.7038,6000.855
22.6,6791.589,6724.3746,5843.5926
22.7,6867.5268,6799.5486,5951.007
22.8,6968.4288,6899.4456,6117.3948
22.9,6994.3176,6925.0932,6157.233
23,7349.6052,7276.8432,6694.8678
23.1,7009.9152,6940.53,6194.0562
23.2,6884.2902,6816.1512,5983.368
23.3,6638.7486,6573.0216,5579.1972
23.4,6467.9388,6403.9002,5249.1954
23.5,6444.1404,6380.343,5179.0062
23.6,6714.0432,6647.5926,5696.139
23.7,6800.7546,6733.4598,5856.4164
23.8,6743.5902,6676.8582,5754.1878
23.9,7328.9826,7256.4216,6691.29
24,6739.932,6673.2,5730.711
24.1,6732.5352,6665.8836,5706.9528
24.2,6597.4632,6532.1784,5449.5522
24.3,6903.3852,6835.0452,5954.9868
24.4,6883.2852,6815.1462,5947.9116
24.5,7013.292,6943.8666,6182.0364
24.6,6912.9528,6844.5324,6064.1298
24.7,7041.432,6971.7252,6205.3122
24.8,7191.579,7120.3848,6437.2662
24.9,6859.0848,6791.187,5963.9514
25,6755.5698,6688.7172,5773.3632
25.1,6736.5954,6669.9036,5752.821
25.2,7019.3622,6949.8966,6192.3678
25.3,6954.6,6885.7776,6094.521
25.4,7059.321,6989.4534,6240.5676
25.5,6907.365,6838.9848,6022.1208
25.6,7549.0374,7474.3056,6952.1076
25.7,6937.917,6869.2554,6073.5366
25.8,6865.9992,6798.021,5953.1376
25.9,6856.8336,6788.976,5947.6704
