Location 1 - Suction On,,,,,,,,Location 1 - Suction Off,,,,,,,,Location 4 - Suction On,,,,,,,,Location 4 - Suction Off,,,,,,
Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation
0,-5903443.63,5136388.203,1.06E+08,1.11E+08,2.30E+08,2.17E+08,,0.00E+00,-388331.1296,5934086.13,7.33E+07,2.42E+07,9.61E+07,6.30E+07,,0,-941267.8704,403367.0539,-1.67E+05,9.32E+03,2.51E+04,4.75E+04,,0,2400419.889,4497842.49,6.56E+05,1.21E+06,1.40E+05,2.42E+05
0.06995,-6080241.036,4648962.66,9.83E+07,8.69E+07,2.84E+08,1.67E+08,,7.00E-02,-588433.8437,4665632.606,1.02E+08,3.49E+07,1.63E+08,8.47E+07,,0.06995,-958545.8864,439210.2851,-1.59E+05,1.07E+05,-2.21E+03,4.84E+04,,0.06995,2430957.537,4511519.554,6.93E+05,1.24E+06,1.39E+05,2.63E+05
0.13991,-6257038.442,4161700.084,9.08E+07,6.39E+07,3.37E+08,1.17E+08,,0.13991,-788536.5577,4264670.692,1.31E+08,5.48E+07,2.30E+08,1.24E+08,,0.13991,-975823.9024,476266.9449,-1.51E+05,2.13E+05,-2.95E+04,5.08E+04,,0.13991,2461495.185,4525266.167,7.30E+05,1.27E+06,1.37E+05,2.83E+05
0.20986,-6425125.595,3731215.881,8.63E+07,4.27E+07,3.84E+08,7.14E+07,,2.10E-01,-649844.2207,4759364.89,1.58E+08,7.45E+07,2.90E+08,1.66E+08,,0.20986,-989991.1036,517175.1145,-1.47E+05,3.12E+05,-5.55E+04,5.53E+04,,0.20986,2488526.11,4535725.079,7.63E+05,1.31E+06,1.36E+05,3.02E+05
0.27981,-6478164.805,4048681.742,1.22E+08,2.49E+07,3.52E+08,7.15E+07,,0.27981,3963766.082,6360519.371,1.52E+08,6.63E+07,2.47E+08,1.74E+08,,0.27981,-963069.6258,638912.2882,-1.93E+05,3.15E+05,-6.40E+04,6.79E+04,,0.27981,2469239.073,4503175.641,7.49E+05,1.33E+06,1.44E+05,2.97E+05
0.34977,-6531204.016,4367541.715,1.58E+08,2.49E+07,3.19E+08,7.63E+07,,0.34977,8577376.385,1.09E+07,1.46E+08,7.12E+07,2.04E+08,1.82E+08,,0.34977,-936148.148,811737.4189,-2.40E+05,3.19E+05,-7.24E+04,8.14E+04,,0.34977,2449952.035,4473082.043,7.34E+05,1.35E+06,1.52E+05,2.94E+05
0.41972,-6614220.099,4611044.982,1.89E+08,3.90E+07,2.88E+08,8.58E+07,,0.41972,1.42E+07,1.62E+07,1.39E+08,8.08E+07,1.68E+08,1.93E+08,,0.41972,-953513.2447,1058147.752,-2.99E+05,3.36E+05,-8.14E+04,9.85E+04,,0.41972,2437169.438,4442917.885,7.25E+05,1.37E+06,1.59E+05,2.93E+05
0.48967,-6880220.011,4390529.81,1.87E+08,3.60E+07,2.64E+08,1.02E+08,,0.48967,2.61E+07,2.64E+07,1.28E+08,5.62E+07,1.74E+08,2.17E+08,,0.48967,-1241210.974,1606937.952,-4.37E+05,4.64E+05,-9.39E+04,1.39E+05,,0.48967,2464091.03,4398803.05,7.48E+05,1.34E+06,1.58E+05,2.87E+05
0.55963,-7146219.922,4174558.004,1.85E+08,3.74E+07,2.39E+08,1.19E+08,,0.55963,3.79E+07,3.98E+07,1.16E+08,3.29E+07,1.80E+08,2.41E+08,,0.55963,-1528908.703,2155767.663,-5.74E+05,6.15E+05,-1.06E+05,1.82E+05,,0.55963,2491012.622,4355917.004,7.71E+05,1.31E+06,1.57E+05,2.82E+05
0.62958,-6899445.9,3567264.245,1.79E+08,3.19E+07,2.16E+08,1.32E+08,,0.62958,4.57E+07,5.07E+07,1.13E+08,1.17E+07,1.81E+08,2.47E+08,,0.62958,-1747631.369,2511977.092,-6.72E+05,7.38E+05,-1.16E+05,2.13E+05,,0.62958,2506056.544,4331892.801,7.80E+05,1.29E+06,1.57E+05,2.75E+05
0.69953,-4736891.485,3977670.926,1.53E+08,1.35E+07,1.93E+08,1.32E+08,,0.69953,3.81E+07,4.94E+07,1.42E+08,2.47E+07,1.67E+08,1.79E+08,,0.69953,-1708655.535,2152068.265,-6.23E+05,7.21E+05,-1.17E+05,1.91E+05,,0.69953,2476724.172,4374139.108,7.36E+05,1.31E+06,1.66E+05,2.62E+05
0.76949,-2574337.071,7080635.725,1.28E+08,5.89E+07,1.71E+08,1.38E+08,,0.76949,3.05E+07,4.95E+07,1.70E+08,5.99E+07,1.53E+08,1.23E+08,,0.76949,-1669679.702,1800692.739,-5.74E+05,7.09E+05,-1.18E+05,1.73E+05,,0.76949,2447391.8,4416418.673,6.93E+05,1.33E+06,1.74E+05,2.49E+05
0.83944,397818.7528,1.08E+07,1.13E+08,8.72E+07,1.54E+08,1.42E+08,,0.83944,2.50E+07,4.56E+07,1.78E+08,8.10E+07,1.31E+08,9.33E+07,,0.83944,-1624256.013,1.53E+06,-5.33E+05,6.93E+05,-1.13E+05,1.59E+05,,0.83944,2412064.089,4.47E+06,6.71E+05,1.36E+06,1.79E+05,2.46E+05
0.90939,5436144.84,1.49E+07,1.25E+08,7.19E+07,1.49E+08,1.27E+08,,0.90939,2.47E+07,2.85E+07,1.31E+08,6.57E+07,9.02E+07,6.47E+07,,0.90939,-1562376.858,1.45E+06,-5.09E+05,6.54E+05,-9.17E+04,1.46E+05,,0.90939,2361435.772,4.56E+06,7.02E+05,1.38E+06,1.76E+05,2.69E+05
0.97935,1.05E+07,1.92E+07,1.38E+08,5.66E+07,1.44E+08,1.13E+08,,0.97935,2.43E+07,1.22E+07,8.48E+07,5.10E+07,4.90E+07,3.70E+07,,0.97935,-1.50E+06,1.38E+06,-4.86E+05,6.17E+05,-7.08E+04,1.45E+05,,0.97935,2.31E+06,4.66E+06,7.33E+05,1.40E+06,1.74E+05,2.92E+05
1.0493,1.13E+07,1.95E+07,1.55E+08,3.95E+07,1.55E+08,9.37E+07,,1.0493,2.24E+07,7635797.494,5.77E+07,4.71E+07,2.56E+07,2.30E+07,,1.0493,-1.46E+06,1.23E+06,-4.50E+05,5.71E+05,-6.45E+04,1.41E+05,,1.0493,2.31E+06,4.72E+06,7.43E+05,1.40E+06,1.76E+05,3.02E+05
1.11925,4326989.514,1.25E+07,1.80E+08,2.08E+07,1.94E+08,6.50E+07,,1.11925,1.77E+07,1.15E+07,6.60E+07,6.27E+07,3.50E+07,2.98E+07,,1.11925,-1450073.157,9.42E+05,-3.91E+05,5.11E+05,-8.50E+04,1.16E+05,,1.11925,2392070.367,4.70E+06,7.12E+05,1.36E+06,1.87E+05,2.88E+05
1.18921,-2635616.186,6475749.27,2.05E+08,1.51E+07,2.33E+08,5.21E+07,,1.18921,1.31E+07,1.54E+07,7.43E+07,7.89E+07,4.44E+07,3.78E+07,,1.18921,-1442438.716,656842.7189,-3.33E+05,4.52E+05,-1.05E+05,9.60E+04,,1.18921,2476451.084,4676957.69,6.81E+05,1.32E+06,1.99E+05,2.74E+05
1.25916,-6643408.768,4997146.042,2.18E+08,2.59E+07,2.58E+08,6.02E+07,,1.25916,1.51E+07,2.01E+07,9.25E+07,7.28E+07,6.51E+07,5.27E+07,,1.25916,-1450754.306,536854.912,-3.09E+05,3.96E+05,-1.07E+05,9.09E+04,,1.25916,2516036.174,4670621.356,6.72E+05,1.31E+06,1.99E+05,2.75E+05
1.32911,-6608852.85,4967616.934,2.15E+08,3.26E+07,2.64E+08,6.97E+07,,1.32911,2.65E+07,2.81E+07,1.24E+08,3.81E+07,1.01E+08,8.91E+07,,1.32911,-1480890.423,677311.5615,-3.32E+05,3.40E+05,-8.13E+04,9.75E+04,,1.32911,2494338.357,4683119.861,6.93E+05,1.32E+06,1.84E+05,2.97E+05
1.39907,-6574296.931,4942117.604,2.11E+08,3.94E+07,2.71E+08,8.10E+07,,1.39907,3.79E+07,3.73E+07,1.56E+08,2.24E+07,1.37E+08,1.31E+08,,1.39907,-1511026.539,849769.7698,-3.54E+05,2.88E+05,-5.60E+04,1.05E+05,,1.39907,2472640.539,4697341.559,7.15E+05,1.33E+06,1.69E+05,3.20E+05
1.46902,-6677917.453,4956768.065,2.13E+08,3.78E+07,2.60E+08,7.95E+07,,1.46902,3.84E+07,3.70E+07,1.77E+08,3.42E+07,1.58E+08,1.49E+08,,1.46902,-1186813.435,406346.2473,-2.61E+05,7.56E+04,-1.17E+04,3.08E+04,,1.46902,2444409.893,4745032.961,7.28E+05,1.35E+06,1.55E+05,3.21E+05
1.53897,-6923826.81,5015649.519,2.19E+08,2.76E+07,2.30E+08,6.64E+07,,1.53897,2.78E+07,2.77E+07,1.86E+08,4.65E+07,1.62E+08,1.43E+08,,1.53897,-497705.0015,1391686.518,-4.64E+04,6.99E+05,5.22E+04,1.30E+05,,1.53897,2409451.988,4825898.924,7.33E+05,1.35E+06,1.40E+05,2.99E+05
1.60893,-7169736.167,5082405.716,2.25E+08,1.74E+07,2.00E+08,5.89E+07,,1.60893,1.72E+07,2.24E+07,1.95E+08,6.65E+07,1.66E+08,1.38E+08,,1.60893,191403.4319,2838487.027,1.68E+05,1.34E+06,1.16E+05,2.91E+05,,1.60893,2374494.084,4906811.288,7.38E+05,1.36E+06,1.26E+05,2.77E+05
1.67888,-4365698.104,4757916.621,2.26E+08,1.05E+07,1.79E+08,6.12E+07,,1.67888,1.48E+07,2.60E+07,1.95E+08,8.07E+07,1.64E+08,1.37E+08,,1.67888,86634.21171,2790855.156,1.22E+05,1.33E+06,1.11E+05,3.05E+05,,1.67888,2456050.133,5086438.119,7.37E+05,1.39E+06,1.28E+05,2.71E+05
1.74883,805226.2372,1.20E+07,2.23E+08,1.38E+07,1.64E+08,6.89E+07,,1.74883,1.87E+07,3.28E+07,1.89E+08,8.95E+07,1.57E+08,1.37E+08,,1.74883,-634217.146,1.59E+06,-1.26E+05,8.15E+05,5.29E+04,2.06E+05,,1.74883,2628025.866,5.34E+06,7.31E+05,1.45E+06,1.44E+05,2.78E+05
1.81879,5976150.579,2.07E+07,2.20E+08,2.25E+07,1.49E+08,7.84E+07,,1.81879,2.26E+07,3.96E+07,1.83E+08,9.89E+07,1.50E+08,1.37E+08,,1.81879,-1355068.504,6.02E+05,-3.74E+05,3.37E+05,-5.33E+03,1.11E+05,,1.81879,2800001.598,5.60E+06,7.25E+05,1.51E+06,1.59E+05,2.86E+05
1.88874,5702627.064,2.02E+07,2.21E+08,1.82E+07,1.52E+08,7.92E+07,,1.88874,2.31E+07,4.05E+07,1.84E+08,9.15E+07,1.50E+08,1.36E+08,,1.88874,-1616256.006,5.83E+05,-4.29E+05,1.46E+05,-3.74E+04,5.67E+04,,1.88874,4036636.429,7.66E+06,3.19E+06,5.77E+06,8.73E+05,1.52E+06
1.95869,2278381.411,1.42E+07,2.23E+08,7603911.368,1.66E+08,7.56E+07,,1.95869,2.16E+07,3.80E+07,1.89E+08,7.45E+07,1.54E+08,1.34E+08,,1.95869,-1611434.332,6.66E+05,-3.71E+05,117750.6312,-5.42E+04,2.65E+04,,1.95869,5889393.425,1.08E+07,7.07E+06,1.25E+07,1.99E+06,3.47E+06
2.02865,-1145864.243,8463036.008,2.26E+08,1.11E+07,1.79E+08,7.36E+07,,2.02865,2.01E+07,3.54E+07,1.95E+08,5.83E+07,1.58E+08,1.33E+08,,2.02865,-1606612.657,812930.1578,-3.14E+05,2.22E+05,-7.11E+04,3.20E+04,,2.02865,7742150.42,1.39E+07,1.10E+07,1.92E+07,3.11E+06,5.41E+06
2.0986,-2019814.48,2955569.968,2.29E+08,1.09E+07,1.68E+08,5.84E+07,,2.0986,1.94E+07,2.64E+07,1.96E+08,4.25E+07,1.57E+08,1.26E+08,,2.0986,-1452472.305,727917.4436,-3.05E+05,2.22E+05,-6.88E+04,4.68E+04,,2.0986,6547449.077,1.18E+07,2.71E+07,4.72E+07,1.64E+07,2.84E+07
2.16855,-1820515.398,2622039.342,2.31E+08,1.43E+07,1.46E+08,4.19E+07,,2.16855,1.91E+07,2.02E+07,1.96E+08,2.89E+07,1.54E+08,1.19E+08,,2.16855,-1235493.675,534627.6773,-3.16E+05,1.67E+05,-5.83E+04,5.56E+04,,2.16855,4070275.683,7671919.288,4.85E+07,8.42E+07,3.48E+07,6.03E+07
2.23851,-1621216.315,8195617.606,2.33E+08,2.31E+07,1.24E+08,3.81E+07,,2.23851,1.88E+07,2.51E+07,1.96E+08,2.25E+07,1.51E+08,1.14E+08,,2.23851,-1018515.045,342139.1675,-3.28E+05,1.16E+05,-4.79E+04,6.44E+04,,2.23851,1593102.29,3502226.889,6.98E+07,1.21E+08,5.32E+07,9.21E+07
2.30846,3972842.167,1.22E+07,2.19E+08,4.59E+07,1.09E+08,4.92E+07,,2.30846,2.23E+07,3.66E+07,1.95E+08,2.24E+07,1.46E+08,1.06E+08,,2.30846,1009574.848,3.12E+06,4.43E+06,8.15E+06,1.19E+06,2.09E+06,,2.30846,1190214.069,2.85E+06,7.22E+07,1.25E+08,4.95E+07,8.57E+07
2.37841,1.11E+07,1.73E+07,1.99E+08,7.27E+07,9.66E+07,6.17E+07,,2.37841,2.70E+07,4.89E+07,1.94E+08,3.57E+07,1.42E+08,9.96E+07,,2.37841,3.57E+06,7.54E+06,1.06E+07,1.88E+07,2.78E+06,4.86E+06,,2.37841,1.39E+06,3.23E+06,6.90E+07,1.20E+08,3.93E+07,6.80E+07
2.44837,1.83E+07,2.32E+07,1.79E+08,9.95E+07,8.41E+07,7.44E+07,,2.44837,3.17E+07,6.15E+07,1.93E+08,5.42E+07,1.37E+08,9.64E+07,,2.44837,6.12E+06,1.19E+07,1.67E+07,2.94E+07,4.37E+06,7.64E+06,,2.44837,1.59E+06,3.61E+06,6.58E+07,1.14E+08,2.92E+07,5.04E+07
2.51832,2.42E+07,2.65E+07,1.73E+08,1.04E+08,8.09E+07,7.69E+07,,2.51832,3.19E+07,6.26E+07,1.96E+08,6.31E+07,1.33E+08,9.16E+07,,2.51832,4.52E+06,9.20E+06,1.25E+07,2.22E+07,3.27E+06,5.75E+06,,2.51832,4.14E+06,4.39E+06,4.79E+07,8.09E+07,1.99E+07,3.39E+07
2.58827,2.98E+07,3.00E+07,1.69E+08,1.04E+08,7.95E+07,7.75E+07,,2.58827,3.13E+07,6.15E+07,1.99E+08,7.03E+07,1.29E+08,8.98E+07,,2.58827,2.15E+06,5.14E+06,6.47E+06,1.17E+07,1.68E+06,3.00E+06,,2.58827,7.11E+06,6.98E+06,2.72E+07,4.25E+07,1.09E+07,1.76E+07
2.65822,3.54E+07,3.39E+07,1.65E+08,1.04E+08,7.80E+07,7.82E+07,,2.65822,3.07E+07,6.05E+07,2.03E+08,7.78E+07,1.26E+08,9.23E+07,,2.65822,-2.17E+05,1.11E+06,4.06E+05,1.19E+06,8.54E+04,2.55E+05,,2.65822,1.01E+07,1.01E+07,6.52E+06,5.97E+06,1.88E+06,1.77E+06
2.72818,2.80E+07,3.00E+07,1.79E+08,9.35E+07,9.02E+07,7.16E+07,,2.72818,2.82E+07,5.65E+07,2.01E+08,7.66E+07,1.15E+08,8.00E+07,,2.72818,1.09E+07,1.44E+07,6.44E+06,8.83E+06,1.20E+06,1.61E+06,,2.72818,2.49E+07,2.24E+07,1.34E+07,1.20E+07,3.19E+06,2.98E+06
2.79813,1.93E+07,2.79E+07,1.95E+08,8.17E+07,1.04E+08,6.59E+07,,2.79813,2.56E+07,5.23E+07,1.98E+08,7.45E+07,1.03E+08,6.67E+07,,2.79813,2.33E+07,2.94E+07,1.36E+07,1.81E+07,2.56E+06,3.37E+06,,2.79813,4.08E+07,3.60E+07,2.28E+07,2.00E+07,5.47E+06,4.98E+06
2.86808,1.06E+07,2.91E+07,2.11E+08,7.01E+07,1.17E+08,6.22E+07,,2.86808,2.30E+07,4.81E+07,1.96E+08,7.25E+07,9.21E+07,5.44E+07,,2.86808,3.56E+07,4.43E+07,2.08E+07,2.74E+07,3.93E+06,5.13E+06,,2.86808,5.67E+07,4.97E+07,3.23E+07,2.81E+07,7.75E+06,6.99E+06
2.93804,1.69E+07,2.25E+07,2.04E+08,5.17E+07,9.92E+07,4.58E+07,,2.93804,2.23E+07,4.68E+07,2.00E+08,6.53E+07,9.73E+07,5.73E+07,,2.93804,4.30E+07,4.00E+07,3.01E+07,2.66E+07,5.93E+06,5.14E+06,,2.93804,4.65E+07,4.15E+07,3.67E+07,3.94E+07,1.02E+07,1.24E+07
3.00799,2.35E+07,1.59E+07,1.96E+08,3.33E+07,8.07E+07,2.95E+07,,3.00799,2.16E+07,4.55E+07,2.05E+08,5.82E+07,1.03E+08,6.42E+07,,3.00799,5.02E+07,4.11E+07,3.95E+07,3.42E+07,7.95E+06,6.96E+06,,3.00799,3.59E+07,3.71E+07,4.10E+07,5.72E+07,1.27E+07,1.90E+07
3.07794,3.00E+07,1.05E+07,1.88E+08,1.66E+07,6.33E+07,1.50E+07,,3.07794,2.09E+07,4.31E+07,2.10E+08,5.04E+07,1.08E+08,7.10E+07,,3.07794,5.74E+07,4.67E+07,4.88E+07,4.57E+07,9.94E+06,9.49E+06,,3.07794,2.60E+07,3.75E+07,4.55E+07,7.64E+07,1.52E+07,2.58E+07
3.1479,3.44E+07,2.23E+07,1.78E+08,2.90E+07,6.37E+07,2.17E+07,,3.1479,2.11E+07,2.57E+07,2.12E+08,3.61E+07,1.08E+08,3.02E+07,,3.1479,6.31E+07,4.11E+07,5.54E+07,4.60E+07,1.15E+07,9.66E+06,,3.1479,2.83E+07,2.93E+07,5.34E+07,8.40E+07,1.79E+07,2.94E+07
3.21785,3.88E+07,3.53E+07,1.69E+08,4.44E+07,6.41E+07,3.65E+07,,3.21785,2.13E+07,2.37E+07,2.14E+08,5.17E+07,1.08E+08,2.62E+07,,3.21785,6.89E+07,3.56E+07,6.20E+07,4.65E+07,1.30E+07,9.91E+06,,3.21785,3.06E+07,2.35E+07,6.13E+07,9.17E+07,2.05E+07,3.30E+07
3.2878,4.24E+07,4.44E+07,1.62E+08,5.54E+07,6.48E+07,4.83E+07,,3.2878,2.21E+07,3.66E+07,2.14E+08,7.58E+07,1.07E+08,5.94E+07,,3.2878,7.40E+07,2.98E+07,6.86E+07,4.70E+07,1.45E+07,1.02E+07,,3.2878,3.43E+07,2.11E+07,6.85E+07,9.53E+07,2.26E+07,3.50E+07
3.35776,3.98E+07,2.54E+07,1.79E+08,3.25E+07,6.78E+07,2.82E+07,,3.35776,2.72E+07,3.42E+07,2.04E+08,6.53E+07,9.55E+07,5.07E+07,,3.35776,7.50E+07,1.95E+07,7.53E+07,4.70E+07,1.61E+07,1.10E+07,,3.35776,4.78E+07,1.57E+07,7.05E+07,7.02E+07,2.10E+07,2.60E+07
3.42771,3.71E+07,6488880.134,1.95E+08,1.15E+07,7.08E+07,9461242.944,,3.42771,3.22E+07,3.41E+07,1.94E+08,6.15E+07,8.43E+07,4.49E+07,,3.42771,7.59E+07,1.05E+07,8.19E+07,4.89E+07,1.77E+07,1.24E+07,,3.42771,6.13E+07,1.15E+07,7.25E+07,4.53E+07,1.93E+07,1.72E+07
3.49766,3.55E+07,7844781.233,2.06E+08,1.20E+07,7.25E+07,1.02E+07,,3.49766,3.46E+07,3.43E+07,1.89E+08,6.10E+07,7.84E+07,4.08E+07,,3.49766,7.54E+07,8935507.303,8.68E+07,5.27E+07,1.91E+07,1.43E+07,,3.49766,7.06E+07,8140946.619,7.35E+07,2.45E+07,1.79E+07,9.70E+06
3.56762,3.79E+07,3111580.701,1.99E+08,6112475.534,6.87E+07,7150901.531,,3.56762,2.60E+07,2.79E+07,2.06E+08,4.55E+07,9.40E+07,3.32E+07,,3.56762,6.86E+07,1.43E+07,8.45E+07,6.05E+07,1.93E+07,1.68E+07,,3.56762,6.22E+07,8.31E+06,7.01E+07,3.01E+07,1.76E+07,9.56E+06
3.63757,4.04E+07,1632415.297,1.93E+08,9824104.918,6.48E+07,6505910.491,,3.63757,1.74E+07,2.24E+07,2.22E+08,3.30E+07,1.10E+08,3.64E+07,,3.63757,6.18E+07,2.03E+07,8.22E+07,7.04E+07,1.95E+07,1.97E+07,,3.63757,5.39E+07,2.00E+07,6.67E+07,4.79E+07,1.73E+07,1.32E+07
3.70752,4.04E+07,5660794.503,1.90E+08,1.26E+07,6.43E+07,4399289.087,,3.70752,1.17E+07,1.61E+07,2.32E+08,2.40E+07,1.18E+08,3.89E+07,,3.70752,5.68E+07,2.23E+07,8.41E+07,7.96E+07,2.11E+07,2.30E+07,,3.70752,4.76E+07,2.98E+07,6.24E+07,6.26E+07,1.65E+07,1.69E+07
3.77748,3.36E+07,1.45E+07,2.01E+08,1.47E+07,7.29E+07,1.02E+07,,3.77748,1.42E+07,4469082.72,2.25E+08,9764654.691,1.05E+08,1.80E+07,,3.77748,5.66E+07,1.81E+07,9.79E+07,8.44E+07,2.66E+07,2.72E+07,,3.77748,4.72E+07,3.31E+07,5.52E+07,6.07E+07,1.45E+07,1.68E+07
3.84743,2.69E+07,2.51E+07,2.13E+08,2.95E+07,8.15E+07,2.43E+07,,3.84743,1.67E+07,8838165.218,2.17E+08,1.54E+07,9.22E+07,9815799.657,,3.84743,5.65E+07,2.42E+07,1.12E+08,8.93E+07,3.22E+07,3.14E+07,,3.84743,4.67E+07,3.70E+07,4.80E+07,5.98E+07,1.26E+07,1.70E+07
3.91738,2.12E+07,2.86E+07,2.20E+08,3.59E+07,9.00E+07,2.72E+07,,3.91738,2.04E+07,1.84E+07,2.06E+08,3.36E+07,8.15E+07,2.42E+07,,3.91738,5.62E+07,3.47E+07,1.24E+08,9.16E+07,3.74E+07,3.56E+07,,3.91738,4.64E+07,3.80E+07,4.14E+07,5.52E+07,1.07E+07,1.59E+07
3.98734,1.76E+07,1.97E+07,2.22E+08,2.80E+07,9.86E+07,2.60E+07,,3.98734,2.68E+07,2.35E+07,1.90E+08,5.64E+07,7.50E+07,3.23E+07,,3.98734,5.54E+07,4.39E+07,1.33E+08,8.94E+07,4.23E+07,4.00E+07,,3.98734,4.65E+07,3.45E+07,3.58E+07,4.20E+07,8.94E+06,1.19E+07
4.05729,1.40E+07,1.81E+07,2.24E+08,3.18E+07,1.07E+08,4.76E+07,,4.05729,3.31E+07,2.85E+07,1.74E+08,7.93E+07,6.85E+07,4.10E+07,,4.05729,5.45E+07,5.31E+07,1.43E+08,8.91E+07,4.72E+07,4.48E+07,,4.05729,4.65E+07,3.52E+07,3.02E+07,3.00E+07,7.18E+06,8.08E+06
4.12724,1.09E+07,1.74E+07,2.27E+08,3.12E+07,1.13E+08,5.83E+07,,4.12724,3.38E+07,2.97E+07,1.71E+08,8.11E+07,7.15E+07,4.26E+07,,4.12724,5.17E+07,5.57E+07,1.54E+08,8.45E+07,5.24E+07,4.60E+07,,4.12724,4.88E+07,3.55E+07,3.77E+07,3.21E+07,9.55E+06,8.95E+06
4.1972,8459769.216,9186358.922,2.34E+08,1.86E+07,1.13E+08,4.96E+07,,4.1972,2.63E+07,2.67E+07,1.86E+08,5.53E+07,8.85E+07,3.91E+07,,4.1972,4.58E+07,5.04E+07,1.67E+08,7.54E+07,5.81E+07,4.32E+07,,4.1972,5.43E+07,3.06E+07,6.42E+07,5.14E+07,1.79E+07,1.61E+07
4.26715,6059341.758,1.14E+07,2.40E+08,2.52E+07,1.14E+08,4.70E+07,,4.26715,1.88E+07,2.59E+07,2.01E+08,4.08E+07,1.06E+08,4.47E+07,,4.26715,3.99E+07,4.83E+07,1.81E+08,7.39E+07,6.38E+07,4.30E+07,,4.26715,5.97E+07,2.60E+07,9.08E+07,7.08E+07,2.63E+07,2.32E+07
4.3371,5980064.54,1.51E+07,2.41E+08,3.04E+07,1.14E+08,4.81E+07,,4.3371,1.87E+07,2.26E+07,2.00E+08,3.82E+07,1.05E+08,4.17E+07,,4.3371,3.64E+07,4.69E+07,1.90E+08,7.20E+07,6.70E+07,4.26E+07,,4.3371,6.31E+07,1.74E+07,1.14E+08,7.54E+07,3.45E+07,2.81E+07
4.40706,8435540.343,1.37E+07,2.38E+08,2.40E+07,1.13E+08,4.89E+07,,4.40706,2.66E+07,2.12E+07,1.83E+08,5.58E+07,8.53E+07,3.05E+07,,4.40706,3.56E+07,4.40E+07,1.94E+08,6.34E+07,6.76E+07,4.02E+07,,4.40706,6.42E+07,1.00E+07,1.33E+08,6.48E+07,4.25E+07,3.10E+07
4.47701,1.09E+07,1.33E+07,2.34E+08,2.02E+07,1.13E+08,5.18E+07,,4.47701,3.44E+07,2.90E+07,1.65E+08,8.89E+07,6.56E+07,3.60E+07,,4.47701,3.47E+07,4.18E+07,1.98E+08,5.56E+07,6.81E+07,3.85E+07,,4.47701,6.53E+07,1.96E+07,1.53E+08,5.59E+07,5.04E+07,3.44E+07
4.54696,1.38E+07,1.53E+07,2.27E+08,2.36E+07,1.07E+08,5.15E+07,,4.54696,4.08E+07,3.33E+07,1.56E+08,1.03E+08,5.56E+07,4.18E+07,,4.54696,3.34E+07,4.01E+07,2.01E+08,5.25E+07,6.89E+07,3.77E+07,,4.54696,6.88E+07,2.69E+07,1.56E+08,5.01E+07,5.30E+07,3.71E+07
4.61692,1.72E+07,1.89E+07,2.19E+08,3.20E+07,9.84E+07,4.76E+07,,4.61692,4.60E+07,3.18E+07,1.54E+08,9.75E+07,5.36E+07,3.97E+07,,4.61692,3.17E+07,3.86E+07,2.01E+08,5.28E+07,6.99E+07,3.72E+07,,4.61692,7.44E+07,2.89E+07,1.47E+08,4.64E+07,5.11E+07,3.93E+07
4.68687,2.06E+07,2.24E+07,2.11E+08,4.10E+07,8.96E+07,4.38E+07,,4.68687,5.12E+07,3.06E+07,1.52E+08,9.26E+07,5.16E+07,3.76E+07,,4.68687,3.00E+07,3.75E+07,2.02E+08,5.35E+07,7.09E+07,3.68E+07,,4.68687,7.99E+07,3.09E+07,1.38E+08,4.42E+07,4.91E+07,4.19E+07
4.75682,2.03E+07,2.00E+07,2.12E+08,3.65E+07,9.06E+07,3.91E+07,,4.75682,5.48E+07,2.87E+07,1.56E+08,7.79E+07,5.14E+07,3.24E+07,,4.75682,3.34E+07,4.05E+07,1.97E+08,6.07E+07,7.11E+07,4.33E+07,,4.75682,7.66E+07,2.64E+07,1.45E+08,3.58E+07,5.07E+07,3.55E+07
4.82678,1.78E+07,1.86E+07,2.18E+08,2.96E+07,9.76E+07,3.80E+07,,4.82678,5.75E+07,2.85E+07,1.64E+08,6.05E+07,5.23E+07,2.73E+07,,4.82678,3.99E+07,4.59E+07,1.89E+08,7.16E+07,7.07E+07,5.39E+07,,4.82678,6.77E+07,2.38E+07,1.62E+08,2.48E+07,5.45E+07,2.47E+07
4.89673,1.53E+07,2.35E+07,2.24E+08,3.40E+07,1.05E+08,4.23E+07,,4.89673,6.01E+07,3.10E+07,1.72E+08,5.08E+07,5.32E+07,2.60E+07,,4.89673,4.65E+07,5.13E+07,1.80E+08,8.25E+07,7.04E+07,6.45E+07,,4.89673,5.88E+07,2.98E+07,1.80E+08,1.97E+07,5.83E+07,1.76E+07
